Stazione,Cod_staz,COMUNE,INDIRIZZO,PROVINCIA,Altezza,Id_Param,PARAMETRO,UM,Coord_X,Coord_Y,SR
GIARDINI MARGHERITA,7000014,BOLOGNA,VIALE BOTTONELLI,BO,43,5,PM10,ug/m3,687199.0608,4928179.721,25832
GIARDINI MARGHERITA,7000014,BOLOGNA,VIALE BOTTONELLI,BO,43,7,O3 (Ozono),ug/m3,687199.0608,4928179.721,25832
GIARDINI MARGHERITA,7000014,BOLOGNA,VIALE BOTTONELLI,BO,43,8,NO2 (Biossido di azoto),ug/m3,687199.0608,4928179.721,25832
GIARDINI MARGHERITA,7000014,BOLOGNA,VIALE BOTTONELLI,BO,43,111,PM2.5,ug/m3,687199.0608,4928179.721,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,5,PM10,ug/m3,685037.0762,4929939.74,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,8,NO2 (Biossido di azoto),ug/m3,685037.0762,4929939.74,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,9,NOX (Ossidi di azoto),ug/m3,685037.0762,4929939.74,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,10,CO (Monossido di carbonio),mg/m3,685037.0762,4929939.74,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,20,C6H6 (Benzene),ug/m3,685037.0762,4929939.74,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,38,NO (Monossido di azoto),ug/m3,685037.0762,4929939.74,25832
PORTA SAN FELICE,7000015,BOLOGNA,PIAZZA DI PORTA SAN FELICE,BO,54,111,PM2.5,ug/m3,685037.0762,4929939.74,25832
VIA CHIARINI,7000041,BOLOGNA,VIA CHIARINI,BO,56,5,PM10,ug/m3,681663.0838,4929852.764,25832
VIA CHIARINI,7000041,BOLOGNA,VIA CHIARINI,BO,56,7,O3 (Ozono),ug/m3,681663.0838,4929852.764,25832
VIA CHIARINI,7000041,BOLOGNA,VIA CHIARINI,BO,56,8,NO2 (Biossido di azoto),ug/m3,681663.0838,4929852.764,25832
DE AMICIS,7000002,IMOLA,VIALE DE AMICIS,BO,42,5,PM10,ug/m3,716749.9923,4914841.67,25832
DE AMICIS,7000002,IMOLA,VIALE DE AMICIS,BO,42,8,NO2 (Biossido di azoto),ug/m3,716749.9923,4914841.67,25832
DE AMICIS,7000002,IMOLA,VIALE DE AMICIS,BO,42,9,NOX (Ossidi di azoto),ug/m3,716749.9923,4914841.67,25832
DE AMICIS,7000002,IMOLA,VIALE DE AMICIS,BO,42,10,CO (Monossido di carbonio),mg/m3,716749.9923,4914841.67,25832
DE AMICIS,7000002,IMOLA,VIALE DE AMICIS,BO,42,38,NO (Monossido di azoto),ug/m3,716749.9923,4914841.67,25832
SAN PIETRO CAPOFIUME,7000027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,5,PM10,ug/m3,708044.2275,4947784.569,25832
SAN PIETRO CAPOFIUME,7000027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,7,O3 (Ozono),ug/m3,708044.2275,4947784.569,25832
SAN PIETRO CAPOFIUME,7000027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,8,NO2 (Biossido di azoto),ug/m3,708044.2275,4947784.569,25832
SAN PIETRO CAPOFIUME,7000027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,9,NOX (Ossidi di azoto),ug/m3,708044.2275,4947784.569,25832
SAN PIETRO CAPOFIUME,7000027,MOLINELLA,VIA IDICE ABBANDONATO,BO,11,111,PM2.5,ug/m3,708044.2275,4947784.569,25832
CASTELLUCCIO,7000042,PORRETTA TERME,VIA MONTECAVALLO,BO,811,5,PM10,ug/m3,654043.4644,4890365.033,25832
CASTELLUCCIO,7000042,PORRETTA TERME,VIA MONTECAVALLO,BO,811,7,O3 (Ozono),ug/m3,654043.4644,4890365.033,25832
