refdate,pm10
2010-01-01,51.0000000
2010-01-02,26.0000000
2010-01-03,36.0000000
2010-01-04,42.0000000
2010-01-05,38.0000000
2010-01-06,27.0000000
2010-01-07,63.0000000
2010-01-08,23.0000000
2010-01-09,18.0000000
2010-01-10,27.0000000
2010-01-11,44.0000000
2010-01-12,64.0000000
2010-01-13,58.0000000
2010-01-14,67.0000000
2010-01-15,86.0000000
2010-01-16,66.0000000
2010-01-17,82.0000000
2010-01-18,75.0000000
2010-01-19,47.0000000
2010-01-20,45.0000000
2010-01-21,57.0000000
2010-01-22,46.0000000
2010-01-23,65.0000000
2010-01-24,69.0000000
2010-01-25,79.0000000
2010-01-26,79.0000000
2010-01-27,46.0000000
2010-01-28,55.0000000
2010-01-29,92.0000000
2010-01-30,89.0000000
2010-01-31,27.0000000
2010-02-01,29.0000000
2010-02-02,36.0000000
2010-02-03,36.0000000
2010-02-04,66.0000000
2010-02-05,65.0000000
2010-02-06,19.0000000
2010-02-07,45.0000000
2010-02-08,51.0000000
2010-02-09,74.0000000
2010-02-10,49.0000000
2010-02-11,22.0000000
2010-02-12,45.0000000
2010-02-13,57.0000000
2010-02-14,79.0000000
2010-02-15,106.0000000
2010-02-16,77.0000000
2010-02-17,75.0000000
2010-02-18,49.0000000
2010-02-19,19.0000000
2010-02-20,25.0000000
2010-02-21,27.0000000
2010-02-22,43.0000000
2010-02-23,41.0000000
2010-02-24,66.0000000
2010-02-25,54.0000000
2010-02-26,43.0000000
2010-02-27,30.0000000
2010-02-28,46.0000000
2010-03-01,40.0000000
2010-03-02,56.0000000
2010-03-03,41.0000000
2010-03-04,22.0000000
2010-03-05,21.0000000
2010-03-06,29.0000000
2010-03-07,33.0000000
2010-03-08,41.0000000
2010-03-09,35.0000000
2010-03-10,21.0000000
2010-03-11,31.0000000
2010-03-12,47.0000000
2010-03-13,63.0000000
2010-03-14,61.0000000
2010-03-15,57.0000000
2010-03-16,32.0000000
2010-03-17,44.0000000
2010-03-18,33.0000000
2010-03-19,46.0000000
2010-03-20,45.0000000
2010-03-21,60.0000000
2010-03-22,43.0000000
2010-03-23,55.0000000
2010-03-24,46.0000000
2010-03-25,56.0000000
2010-03-26,54.0000000
2010-03-27,22.0000000
2010-03-28,11.0000000
2010-03-30,23.0000000
2010-03-31,25.0000000
2010-04-01,22.0000000
2010-04-02,25.0000000
2010-04-03,32.0000000
2010-04-04,24.0000000
2010-04-05,9.0000000
2010-04-06,23.0000000
2010-04-07,37.0000000
2010-04-08,40.0000000
2010-04-09,37.0000000
2010-04-10,29.0000000
2010-04-11,15.0000000
2010-04-12,18.0000000
2010-04-13,22.0000000
2010-04-14,22.0000000
2010-04-15,30.0000000
2010-04-16,33.0000000
2010-04-17,25.0000000
2010-04-18,21.0000000
2010-04-19,25.0000000
2010-04-20,32.0000000
2010-04-21,29.0000000
2010-04-22,35.0000000
2010-04-23,34.0000000
2010-04-24,18.0000000
2010-04-25,31.0000000
2010-04-26,41.0000000
2010-04-27,34.0000000
2010-04-28,34.0000000
2010-04-29,26.0000000
2010-04-30,22.0000000
2010-05-01,20.0000000
2010-05-02,20.0000000
2010-05-03,18.0000000
2010-05-04,16.0000000
2010-05-05,13.0000000
2010-05-06,13.0000000
2010-05-07,14.0000000
2010-05-08,17.0000000
2010-05-09,18.0000000
2010-05-10,31.0000000
2010-05-11,22.0000000
2010-05-12,18.0000000
2010-05-13,17.0000000
2010-05-14,12.0000000
2010-05-15,17.0000000
2010-05-16,11.0000000
2010-05-17,20.0000000
2010-05-18,33.0000000
2010-05-19,39.0000000
2010-05-20,30.0000000
2010-05-21,16.0000000
2010-05-22,17.0000000
2010-05-23,12.0000000
2010-05-24,18.0000000
2010-05-25,20.0000000
2010-05-27,19.0000000
2010-05-28,26.0000000
2010-05-29,34.0000000
2010-05-30,23.0000000
2010-05-31,16.0000000
2010-06-01,13.0000000
2010-06-02,10.0000000
2010-06-03,17.0000000
2010-06-04,18.0000000
2010-06-05,21.0000000
2010-06-06,21.0000000
2010-06-07,19.0000000
2010-06-08,15.0000000
2010-06-09,23.0000000
2010-06-10,29.0000000
2010-06-11,35.0000000
2010-06-12,38.0000000
2010-06-13,18.0000000
2010-06-14,15.0000000
2010-06-15,23.0000000
2010-06-16,15.0000000
2010-06-17,14.0000000
2010-06-18,12.0000000
2010-06-19,12.0000000
2010-06-20,2.0000000
2010-06-21,11.0000000
2010-06-22,18.0000000
2010-06-23,23.0000000
2010-06-24,24.0000000
2010-06-25,24.0000000
2010-06-26,30.0000000
2010-06-27,27.0000000
2010-06-28,34.0000000
2010-06-29,33.0000000
2010-06-30,30.0000000
2010-07-01,31.0000000
2010-07-02,41.0000000
2010-07-03,32.0000000
2010-07-04,23.0000000
2010-07-05,34.0000000
2010-07-06,29.0000000
2010-07-07,22.0000000
2010-07-08,25.0000000
2010-07-09,33.0000000
2010-07-10,37.0000000
2010-07-11,27.0000000
2010-07-12,27.0000000
2010-07-13,22.0000000
2010-07-14,27.0000000
2010-07-15,31.0000000
2010-07-16,43.0000000
2010-07-17,28.0000000
2010-07-18,16.0000000
2010-07-19,16.0000000
2010-07-20,24.0000000
2010-07-21,26.0000000
2010-07-22,24.0000000
2010-07-23,25.0000000
2010-07-24,11.0000000
2010-07-25,8.0000000
2010-07-26,12.0000000
2010-07-27,20.0000000
2010-07-28,20.0000000
2010-07-29,21.0000000
2010-07-30,16.0000000
2010-07-31,11.0000000
