COD_STAZ,ID_PARAM,DATA_INIZIO,DATA_FINE,VALORE,UM
2000003,7,01/01/2015 00,01/01/2015 01,5,ug/m3
2000003,7,01/01/2015 01,01/01/2015 02,7,ug/m3
2000003,7,08/01/2015 12,08/01/2015 13,17,ug/m3
2000003,7,08/01/2015 13,08/01/2015 14,19,ug/m3
2000003,7,08/01/2015 14,08/01/2015 15,21,ug/m3
2000003,7,08/01/2015 15,08/01/2015 16,14,ug/m3
2000003,7,08/01/2015 16,08/01/2015 17,7,ug/m3
2000003,7,08/01/2015 17,08/01/2015 18,3,ug/m3
2000003,7,08/01/2015 18,08/01/2015 19,3,ug/m3
2000003,7,08/01/2015 19,08/01/2015 20,3,ug/m3
2000003,7,08/01/2015 20,08/01/2015 21,3,ug/m3
2000003,7,08/01/2015 21,08/01/2015 22,3,ug/m3
2000003,7,08/01/2015 22,08/01/2015 23,3,ug/m3
2000003,7,08/01/2015 23,09/01/2015 00,3,ug/m3
2000003,7,09/01/2015 00,09/01/2015 01,3,ug/m3
2000003,7,09/01/2015 01,09/01/2015 02,5,ug/m3
2000003,7,09/01/2015 03,09/01/2015 04,4,ug/m3
2000003,7,09/01/2015 04,09/01/2015 05,3,ug/m3
2000003,7,09/01/2015 05,09/01/2015 06,3,ug/m3
2000003,7,09/01/2015 06,09/01/2015 07,3,ug/m3
2000003,7,09/01/2015 07,09/01/2015 08,3,ug/m3
2000003,7,09/01/2015 08,09/01/2015 09,3,ug/m3
2000003,7,09/01/2015 09,09/01/2015 10,3,ug/m3
2000003,7,09/01/2015 10,09/01/2015 11,5,ug/m3
2000003,7,09/01/2015 11,09/01/2015 12,9,ug/m3
2000003,7,09/01/2015 12,09/01/2015 13,11,ug/m3
2000003,7,09/01/2015 13,09/01/2015 14,22,ug/m3
2000003,7,09/01/2015 14,09/01/2015 15,21,ug/m3
2000003,7,09/01/2015 15,09/01/2015 16,24,ug/m3
2000003,7,09/01/2015 16,09/01/2015 17,14,ug/m3
2000003,7,09/01/2015 17,09/01/2015 18,2,ug/m3
2000003,7,09/01/2015 18,09/01/2015 19,3,ug/m3
2000003,7,09/01/2015 19,09/01/2015 20,3,ug/m3
2000003,7,09/01/2015 20,09/01/2015 21,3,ug/m3
2000003,7,09/01/2015 21,09/01/2015 22,3,ug/m3
2000003,7,09/01/2015 22,09/01/2015 23,3,ug/m3
2000003,7,09/01/2015 23,10/01/2015 00,3,ug/m3
2000003,7,10/01/2015 00,10/01/2015 01,3,ug/m3
2000003,7,10/01/2015 01,10/01/2015 02,8,ug/m3
2000003,7,10/01/2015 03,10/01/2015 04,3,ug/m3
2000003,7,10/01/2015 04,10/01/2015 05,3,ug/m3
2000003,7,10/01/2015 05,10/01/2015 06,3,ug/m3
2000003,7,10/01/2015 06,10/01/2015 07,3,ug/m3
2000003,7,10/01/2015 07,10/01/2015 08,3,ug/m3
2000003,7,10/01/2015 08,10/01/2015 09,3,ug/m3
2000003,7,10/01/2015 09,10/01/2015 10,3,ug/m3
2000003,7,10/01/2015 10,10/01/2015 11,4,ug/m3
2000003,7,10/01/2015 11,10/01/2015 12,8,ug/m3
2000003,7,10/01/2015 12,10/01/2015 13,12,ug/m3
2000003,7,10/01/2015 13,10/01/2015 14,14,ug/m3
2000003,7,10/01/2015 14,10/01/2015 15,22,ug/m3
2000003,7,10/01/2015 15,10/01/2015 16,3,ug/m3
2000003,7,10/01/2015 16,10/01/2015 17,3,ug/m3
2000003,7,10/01/2015 17,10/01/2015 18,2,ug/m3
2000003,7,10/01/2015 18,10/01/2015 19,3,ug/m3
2000003,7,10/01/2015 19,10/01/2015 20,3,ug/m3
2000003,7,10/01/2015 20,10/01/2015 21,3,ug/m3
2000003,7,10/01/2015 21,10/01/2015 22,3,ug/m3
2000003,7,10/01/2015 22,10/01/2015 23,3,ug/m3
2000003,7,10/01/2015 23,11/01/2015 00,3,ug/m3
2000003,7,11/01/2015 00,11/01/2015 01,3,ug/m3
2000003,7,11/01/2015 01,11/01/2015 02,3,ug/m3
2000003,7,11/01/2015 03,11/01/2015 04,3,ug/m3
2000003,7,11/01/2015 04,11/01/2015 05,3,ug/m3
2000003,7,11/01/2015 05,11/01/2015 06,3,ug/m3
2000003,7,11/01/2015 06,11/01/2015 07,3,ug/m3
2000003,7,11/01/2015 07,11/01/2015 08,3,ug/m3
2000003,7,11/01/2015 08,11/01/2015 09,4,ug/m3
2000003,7,11/01/2015 09,11/01/2015 10,5,ug/m3
2000003,7,11/01/2015 10,11/01/2015 11,7,ug/m3
2000003,7,11/01/2015 11,11/01/2015 12,8,ug/m3
2000003,7,11/01/2015 12,11/01/2015 13,11,ug/m3
2000003,7,11/01/2015 13,11/01/2015 14,13,ug/m3
2000003,7,11/01/2015 14,11/01/2015 15,36,ug/m3
2000003,7,11/01/2015 15,11/01/2015 16,64,ug/m3
2000003,7,11/01/2015 16,11/01/2015 17,65,ug/m3
2000003,7,11/01/2015 17,11/01/2015 18,49,ug/m3
2000003,7,11/01/2015 18,11/01/2015 19,54,ug/m3
2000003,7,11/01/2015 19,11/01/2015 20,47,ug/m3
2000003,7,11/01/2015 20,11/01/2015 21,52,ug/m3
2000003,7,11/01/2015 21,11/01/2015 22,60,ug/m3
2000003,7,11/01/2015 22,11/01/2015 23,63,ug/m3
2000003,7,11/01/2015 23,12/01/2015 00,66,ug/m3
2000003,7,12/01/2015 00,12/01/2015 01,67,ug/m3
2000003,7,12/01/2015 01,12/01/2015 02,68,ug/m3
2000003,7,12/01/2015 03,12/01/2015 04,66,ug/m3
2000003,7,12/01/2015 04,12/01/2015 05,58,ug/m3
2000003,7,12/01/2015 05,12/01/2015 06,40,ug/m3
2000003,7,12/01/2015 06,12/01/2015 07,21,ug/m3
2000003,7,12/01/2015 07,12/01/2015 08,29,ug/m3
2000003,7,12/01/2015 08,12/01/2015 09,13,ug/m3
2000003,7,12/01/2015 09,12/01/2015 10,18,ug/m3
2000003,7,12/01/2015 10,12/01/2015 11,25,ug/m3
2000003,7,12/01/2015 11,12/01/2015 12,34,ug/m3
2000003,7,12/01/2015 12,12/01/2015 13,42,ug/m3
2000003,7,12/01/2015 13,12/01/2015 14,46,ug/m3
2000003,7,12/01/2015 14,12/01/2015 15,52,ug/m3
2000003,7,12/01/2015 15,12/01/2015 16,46,ug/m3
2000003,7,12/01/2015 16,12/01/2015 17,28,ug/m3
2000003,7,12/01/2015 17,12/01/2015 18,4,ug/m3
