Arpae-SIMC

Parma urbana
Inizio validità (UTC),Fine validità (UTC),Precipitazione cumulata giornaliera (KG/M**2)
2017-05-31 00:00:00+00:00,2017-06-01 00:00:00+00:00,0.0
2017-06-01 00:00:00+00:00,2017-06-02 00:00:00+00:00,0.0
2017-06-02 00:00:00+00:00,2017-06-03 00:00:00+00:00,0.0
2017-06-03 00:00:00+00:00,2017-06-04 00:00:00+00:00,0.0
2017-06-04 00:00:00+00:00,2017-06-05 00:00:00+00:00,0.0
2017-06-05 00:00:00+00:00,2017-06-06 00:00:00+00:00,0.6
2017-06-06 00:00:00+00:00,2017-06-07 00:00:00+00:00,0.0
2017-06-07 00:00:00+00:00,2017-06-08 00:00:00+00:00,0.0
2017-06-08 00:00:00+00:00,2017-06-09 00:00:00+00:00,0.0
2017-06-09 00:00:00+00:00,2017-06-10 00:00:00+00:00,0.0
2017-06-10 00:00:00+00:00,2017-06-11 00:00:00+00:00,0.0
2017-06-11 00:00:00+00:00,2017-06-12 00:00:00+00:00,0.0
2017-06-12 00:00:00+00:00,2017-06-13 00:00:00+00:00,0.0
2017-06-13 00:00:00+00:00,2017-06-14 00:00:00+00:00,0.0
2017-06-14 00:00:00+00:00,2017-06-15 00:00:00+00:00,40.8
2017-06-15 00:00:00+00:00,2017-06-16 00:00:00+00:00,0.0
2017-06-16 00:00:00+00:00,2017-06-17 00:00:00+00:00,0.0
2017-06-17 00:00:00+00:00,2017-06-18 00:00:00+00:00,0.0
2017-06-18 00:00:00+00:00,2017-06-19 00:00:00+00:00,0.0
2017-06-19 00:00:00+00:00,2017-06-20 00:00:00+00:00,0.0
2017-06-20 00:00:00+00:00,2017-06-21 00:00:00+00:00,0.0
2017-06-21 00:00:00+00:00,2017-06-22 00:00:00+00:00,0.0
2017-06-22 00:00:00+00:00,2017-06-23 00:00:00+00:00,0.0
2017-06-23 00:00:00+00:00,2017-06-24 00:00:00+00:00,0.0
2017-06-24 00:00:00+00:00,2017-06-25 00:00:00+00:00,0.0
2017-06-25 00:00:00+00:00,2017-06-26 00:00:00+00:00,0.0
2017-06-26 00:00:00+00:00,2017-06-27 00:00:00+00:00,5.4
2017-06-27 00:00:00+00:00,2017-06-28 00:00:00+00:00,0.0
2017-06-28 00:00:00+00:00,2017-06-29 00:00:00+00:00,24.2
2017-06-29 00:00:00+00:00,2017-06-30 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,2017-07-01 00:00:00+00:00,0.0



Nome della stazione,Rete di misura,Comune,Provincia,Regione,Nazione,Altezza (Metri sul livello del mare),Longitudine (Gradi Centesimali),Latitudine (Gradi Centesimali),Bacino
Parma urbana,urbane,PARMA,PARMA,EMILIA-ROMAGNA,ITALY,79.0,10.330492,44.808001,PIANURA FRA PARMA ED ENZA


Nome della variabile,Unita' di misura
Precipitazione cumulata giornaliera,KG/M**2
