LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Parma;1/1/2004;;;;;;;;;;;;;
Parma;2/1/2004;;;;;;;;;;;;;
Parma;3/1/2004;;;;;;;;;;;;;
Parma;4/1/2004;;;;;;;;;;;;;
Parma;5/1/2004;;;;;;;;;;;;;
Parma;6/1/2004;;;;;;;;;;;;;
Parma;7/1/2004;;;;;;;;;;;;;
Parma;8/1/2004;;;;;;;;;;;;;
Parma;9/1/2004;;;;;;;;;;;;;
Parma;10/1/2004;;;;;;;;;;;;;
Parma;11/1/2004;;;;;;;;;;;;;
Parma;12/1/2004;;;;;;;;;;;;;
Parma;13/1/2004;;;;;;;;;;;;;
Parma;14/1/2004;;;;;;;;;;;;;
Parma;15/1/2004;;;;;;;;;;;;;
Parma;16/1/2004;;;;;;;;;;;;;
Parma;17/1/2004;;;;;;;;;;;;;
Parma;18/1/2004;;;;;;;;;;;;;
Parma;19/1/2004;;;;;;;;;;;;;
Parma;20/1/2004;;;;;;;;;;;;;
Parma;21/1/2004;;;;;;;;;;;;;
Parma;22/1/2004;;;;;;;;;;;;;
Parma;23/1/2004;;;;;;;;;;;;;
Parma;24/1/2004;;;;;;;;;;;;;
Parma;25/1/2004;;;;;;;;;;;;;
Parma;26/1/2004;;;;;;;;;;;;;
Parma;27/1/2004;;;;;;;;;;;;;
Parma;28/1/2004;;;;;;;;;;;;;
Parma;29/1/2004;;;;;;;;;;;;;
Parma;30/1/2004;;;;;;;;;;;;;
Parma;31/1/2004;;;;;;;;;;;;;
Parma;1/2/2004;;;;;;;;;;;;;
Parma;2/2/2004;;;;;;;;;;;;;
Parma;3/2/2004;;;;;;;;;;;;;
Parma;4/2/2004;;;;;;;;;;;;;
Parma;5/2/2004;;;;;;;;;;;;;
Parma;6/2/2004;;;;;;;;;;;;;
Parma;7/2/2004;;;;;;;;;;;;;
Parma;8/2/2004;;;;;;;;;;;;;
Parma;9/2/2004;;;;;;;;;;;;;
Parma;10/2/2004;;;;;;;;;;;;;
Parma;11/2/2004;;;;;;;;;;;;;
Parma;12/2/2004;;;;;;;;;;;;;
Parma;13/2/2004;;;;;;;;;;;;;
Parma;14/2/2004;;;;;;;;;;;;;
Parma;15/2/2004;;;;;;;;;;;;;
Parma;16/2/2004;;;;;;;;;;;;;
Parma;17/2/2004;;;;;;;;;;;;;
Parma;18/2/2004;;;;;;;;;;;;;
Parma;19/2/2004;;;;;;;;;;;;;
Parma;20/2/2004;;;;;;;;;;;;;
Parma;21/2/2004;;;;;;;;;;;;;
Parma;22/2/2004;;;;;;;;;;;;;
Parma;23/2/2004;;;;;;;;;;;;;
Parma;24/2/2004;;;;;;;;;;;;;
Parma;25/2/2004;;;;;;;;;;;;;
Parma;26/2/2004;;;;;;;;;;;;;
Parma;27/2/2004;;;;;;;;;;;;;
Parma;28/2/2004;;;;;;;;;;;;;
Parma;29/2/2004;;;;;;;;;;;;;
Parma;1/3/2004;;;;;;;;;;;;;
Parma;2/3/2004;;;;;;;;;;;;;
Parma;3/3/2004;;;;;;;;;;;;;
Parma;4/3/2004;;;;;;;;;;;;;
Parma;5/3/2004;;;;;;;;;;;;;
Parma;6/3/2004;;;;;;;;;;;;;
Parma;7/3/2004;;;;;;;;;;;;;
Parma;8/3/2004;;;;;;;;;;;;;
Parma;9/3/2004;;;;;;;;;;;;;
Parma;10/3/2004;;;;;;;;;;;;;
Parma;11/3/2004;;;;;;;;;;;;;
Parma;12/3/2004;;;;;;;;;;;;;
Parma;13/3/2004;;;;;;;;;;;;;
Parma;14/3/2004;;;;;;;;;;;;;
Parma;15/3/2004;;;;;;;;;;;;;
Parma;16/3/2004;;;;;;;;;;;;;
Parma;17/3/2004;;;;;;;;;;;;;
Parma;18/3/2004;;;;;;;;;;;;;
Parma;19/3/2004;;;;;;;;;;;;;
Parma;20/3/2004;;;;;;;;;;;;;
Parma;21/3/2004;;;;;;;;;;;;;
Parma;22/3/2004;;;;;;;;;;;;;
Parma;23/3/2004;;;;;;;;;;;;;
Parma;24/3/2004;;;;;;;;;;;;;
Parma;25/3/2004;;;;;;;;;;;;;
Parma;26/3/2004;;;;;;;;;;;;;
Parma;27/3/2004;;;;;;;;;;;;;
Parma;28/3/2004;;;;;;;;;;;;;
Parma;29/3/2004;;;;;;;;;;;;;
Parma;30/3/2004;;;;;;;;;;;;;
Parma;31/3/2004;;;;;;;;;;;;;
Parma;1/4/2004;;;;;;;;;;;;;
Parma;2/4/2004;;;;;;;;;;;;;
Parma;3/4/2004;;;;;;;;;;;;;
Parma;4/4/2004;;;;;;;;;;;;;
Parma;5/4/2004;;;;;;;;;;;;;
Parma;6/4/2004;;;;;;;;;;;;;
Parma;7/4/2004;;;;;;;;;;;;;
Parma;8/4/2004;;;;;;;;;;;;;
Parma;9/4/2004;;;;;;;;;;;;;
Parma;10/4/2004;;;;;;;;;;;;;
Parma;11/4/2004;;;;;;;;;;;;;
Parma;12/4/2004;;;;;;;;;;;;;
Parma;13/4/2004;;;;;;;;;;;;;
Parma;14/4/2004;;;;;;;;;;;;;
Parma;15/4/2004;;;;;;;;;;;;;
Parma;16/4/2004;;;;;;;;;;;;;
Parma;17/4/2004;;;;;;;;;;;;;
Parma;18/4/2004;;;;;;;;;;;;;
Parma;19/4/2004;;;;;;;;;;;;;
Parma;20/4/2004;;;;;;;;;;;;;
Parma;21/4/2004;;;;;;;;;;;;;
Parma;22/4/2004;;;;;;;;;;;;;
Parma;23/4/2004;;;;;;;;;;;;;
