LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Parma;1/6/2008;"20";"15";"25";"14";"66";"10";"8";"11";"0";"1017";"0";"0";""
Parma;2/6/2008;"20";"16";"23";"17";"76";"10";"6";"14";"0";"1014";"0";"0";"pioggia "
Parma;3/6/2008;"19";"14";"24";"14";"65";"10";"8";"14";"0";"1012";"0";"0";"pioggia "
Parma;4/6/2008;"18";"16";"21";"15";"86";"8";"6";"11";"0";"1012";"0";"0";"pioggia "
Parma;5/6/2008;"19";"16";"22";"16";"83";"8";"5";"14";"0";"1010";"0";"0";"pioggia temporale "
Parma;6/6/2008;"19";"15";"24";"14";"79";"8";"3";"14";"0";"1010";"0";"0";"pioggia temporale "
Parma;7/6/2008;"20";"16";"24";"16";"80";"6";"6";"21";"0";"1011";"0";"0";"pioggia "
Parma;8/6/2008;"19";"16";"23";"16";"79";"8";"6";"23";"0";"1014";"0";"0";"pioggia temporale "
Parma;9/6/2008;"19";"14";"25";"15";"74";"8";"8";"13";"0";"1018";"0";"0";"temporale "
Parma;10/6/2008;"21";"16";"26";"16";"66";"6";"5";"10";"0";"1019";"0";"0";""
Parma;11/6/2008;"22";"16";"28";"15";"60";"10";"8";"16";"0";"1015";"0";"0";"temporale "
Parma;12/6/2008;"20";"16";"24";"16";"76";"8";"6";"19";"0";"1010";"0";"0";"pioggia "
Parma;13/6/2008;"19";"15";"23";"15";"76";"6";"6";"27";"0";"1009";"0";"0";"pioggia temporale "
Parma;14/6/2008;"16";"13";"18";"11";"70";"8";"10";"19";"0";"1014";"0";"0";"pioggia "
Parma;15/6/2008;"14";"11";"19";"12";"79";"10";"6";"14";"0";"1014";"0";"0";"pioggia "
Parma;16/6/2008;"17";"14";"20";"14";"85";"6";"8";"14";"0";"1011";"0";"0";"pioggia "
Parma;17/6/2008;"19";"16";"22";"16";"86";"3";"6";"11";"0";"1011";"0";"0";"pioggia temporale "
Parma;18/6/2008;"20";"16";"25";"16";"71";"6";"6";"10";"0";"1015";"0";"0";"temporale "
Parma;19/6/2008;"22";"17";"28";"17";"68";"10";"2";"10";"0";"1017";"0";"0";""
Parma;20/6/2008;"24";"18";"30";"18";"65";"8";"5";"10";"0";"1018";"0";"0";""
Parma;21/6/2008;"26";"20";"31";"19";"64";"10";"2";"11";"0";"1020";"0";"0";""
Parma;22/6/2008;"26";"20";"32";"19";"60";"0";"6";"10";"0";"1020";"0";"0";""
Parma;23/6/2008;"27";"20";"33";"17";"47";"0";"8";"19";"0";"1018";"0";"0";""
Parma;24/6/2008;"26";"20";"32";"17";"53";"0";"8";"13";"0";"1017";"0";"0";""
Parma;25/6/2008;"27";"20";"34";"17";"54";"8";"8";"10";"0";"1016";"0";"0";""
Parma;26/6/2008;"27";"20";"33";"16";"49";"0";"10";"10";"0";"1015";"0";"0";""
Parma;27/6/2008;"27";"21";"33";"17";"56";"6";"10";"13";"0";"1014";"0";"0";""
Parma;28/6/2008;"27";"23";"30";"19";"68";"6";"11";"13";"0";"1018";"0";"0";""
Parma;29/6/2008;"26";"21";"30";"21";"66";"8";"2";"19";"0";"1018";"0";"0";""
Parma;30/6/2008;"24";"19";"31";"19";"69";"6";"6";"11";"0";"1017";"0";"0";""
